"sp","treat","comm","count","total"
"V","R","C.j.Ran",181,806
"A","R","C.j.Ran",59,806
"S","R","C.j.Ran",252,806
"P","R","C.j.Ran",190,806
"O","R","C.k.Ran",225,846
"V","R","C.k.Ran",135,846
"A","R","C.k.Ran",61,846
"S","R","C.k.Ran",395,846
"P","R","C.k.Ran",30,846
"O","R","C.l.Ran",207,904
"V","R","C.l.Ran",139,904
"A","R","C.l.Ran",12,904
"S","R","C.l.Ran",519,904
"P","R","C.l.Ran",27,904
